bid_id,tender_id,tender_title,tender_category,evaluation_window,vendor_id,vendor_name,bid_amount,submission_timestamp,vendor_address,is_winner,procurement_official,audit_status,audit_notes
BID-2024-015,TND-905,Electric Transit Bus Fleet Conversion Phase 2,Public Transit Fleet,2024-Q2,VND-114,OmniBus Continental,29400000.00,2024-04-10T16:02:50,99 Logistics Loop Indianapolis,0,Elena Rostova,Pending Review,
BID-2024-016,TND-906,Smart Traffic Grid Sensor Deployment,Municipal IT & Cybersecurity,2024-Q2,VND-101,Vanguard Tech Solutions,1950000.00,2024-04-25T09:00:15,88 Industrial Pkwy Ste 3B Capital City,1,Director Arthur Vance,Pending Review,
BID-2024-017,TND-906,Smart Traffic Grid Sensor Deployment,Municipal IT & Cybersecurity,2024-Q2,VND-102,CyberCore Systems Ltd,1990000.00,2024-04-25T09:00:39,88 Industrial Pkwy Ste 3B Capital City,0,Director Arthur Vance,Pending Review,
BID-2024-018,TND-906,Smart Traffic Grid Sensor Deployment,Municipal IT & Cybersecurity,2024-Q2,VND-115,TrafficPulse Analytics,2850000.00,2024-04-25T14:48:19,200 Beacon St Austin,0,Director Arthur Vance,Pending Review,
BID-2024-019,TND-907,K-12 District Geothermal Heat Pump Installation,Education Facility Maintenance,2024-Q2,VND-116,ThermalEco Energy Services,4200000.00,2024-05-12T10:11:00,55 Elmwood Park Cincinnati,1,Marcus Sterling,Pending Review,
BID-2024-020,TND-907,K-12 District Geothermal Heat Pump Installation,Education Facility Maintenance,2024-Q2,VND-117,Precision Climate Engineering,4350000.00,2024-05-12T11:45:22,810 Buckeye Lane Columbus,0,Marcus Sterling,Pending Review,
BID-2024-021,TND-907,K-12 District Geothermal Heat Pump Installation,Education Facility Maintenance,2024-Q2,VND-118,TriState Mechanical Giants,7950000.00,2024-05-12T15:20:00,1400 Industrial Rd Cleveland,0,Marcus Sterling,Pending Review,
BID-2024-022,TND-908,Port Container Terminal Deepwater Berth Dredging,Civil Infrastructure,2024-Q2,VND-104,Apex Infrastructure Ltd,15400000.00,2024-06-01T13:10:05,742 Evergreen Terr Suite 404,1,Director Arthur Vance,Pending Review,
BID-2024-023,TND-908,Port Container Terminal Deepwater Berth Dredging,Civil Infrastructure,2024-Q2,VND-105,Summit Horizons Corp,15750000.00,2024-06-01T13:10:29,742 Evergreen Terr Suite 404,0,Director Arthur Vance,Pending Review,
BID-2024-024,TND-908,Port Container Terminal Deepwater Berth Dredging,Civil Infrastructure,2024-Q2,VND-119,Atlantic Marine Dredge Co,22800000.00,2024-06-01T16:55:00,3 Harbour View Baltimore,0,Director Arthur Vance,Pending Review,
BID-2024-025,TND-909,Emergency Department Ultrasound Equipment Suite,Healthcare Medical Supplies,2024-Q3,VND-120,Apex Diagnostics Bio,3800000.00,2024-07-14T10:00:00,16 MedTech Way Minneapolis,1,Elena Rostova,Pending Review,
BID-2024-026,TND-909,Emergency Department Ultrasound Equipment Suite,Healthcare Medical Supplies,2024-Q3,VND-121,Precision Sonics Ltd,3950000.00,2024-07-14T12:30:15,400 Imaging Rd Rochester,0,Elena Rostova,Pending Review,
BID-2024-027,TND-909,Emergency Department Ultrasound Equipment Suite,Healthcare Medical Supplies,2024-Q3,VND-122,Global Health Imaging Corp,7800000.00,2024-07-14T15:40:00,88 Parkway San Jose,0,Elena Rostova,Pending Review,
BID-2024-028,TND-910,Automated Cyber Threat Intelligence Engine,Municipal IT & Cybersecurity,2024-Q3,VND-101,Vanguard Tech Solutions,2150000.00,2024-08-04T09:25:10,88 Industrial Pkwy Ste 3B Capital City,1,Director Arthur Vance,Pending Review,
BID-2024-029,TND-910,Automated Cyber Threat Intelligence Engine,Municipal IT & Cybersecurity,2024-Q3,VND-102,CyberCore Systems Ltd,2190000.00,2024-08-04T09:25:34,88 Industrial Pkwy Ste 3B Capital City,0,Director Arthur Vance,Pending Review,
BID-2024-030,TND-910,Automated Cyber Threat Intelligence Engine,Municipal IT & Cybersecurity,2024-Q3,VND-123,Fortress Securitron Ltd,4100000.00,2024-08-04T16:11:45,550 Cyber Way Reston,0,Director Arthur Vance,Pending Review,
BID-2024-031,TND-911,Municipal Water Treatment Chemical Supply,Healthcare Medical Supplies,2024-Q3,VND-124,AquaChem Purification,1850000.00,2024-08-20T11:00:00,70 Waterworks Blvd Tampa,1,Marcus Sterling,Pending Review,
BID-2024-032,TND-911,Municipal Water Treatment Chemical Supply,Healthcare Medical Supplies,2024-Q3,VND-125,PureWater Industrial Solutions,1920000.00,2024-08-20T11:45:00,100 Reservoir Rd Orlando,0,Marcus Sterling,Pending Review,
BID-2024-033,TND-911,Municipal Water Treatment Chemical Supply,Healthcare Medical Supplies,2024-Q3,VND-126,EcoClear Environmental,4600000.00,2024-08-20T15:10:00,230 River Run Jacksonville,0,Marcus Sterling,Pending Review,
BID-2024-034,TND-912,Civic Center Acoustic Renovation & Fire Doors,Education Facility Maintenance,2024-Q3,VND-127,Apex Sound & Safety LLC,1850000.00,2024-09-02T10:14:00,300 Theater Way Denver,1,Elena Rostova,Pending Review,
BID-2024-035,TND-912,Civic Center Acoustic Renovation & Fire Doors,Education Facility Maintenance,2024-Q3,VND-128,MileHigh Architectural Acoustics,1920000.00,2024-09-02T11:30:00,450 Rocky Mountain Blvd Boulder,0,Elena Rostova,Pending Review,
BID-2024-036,TND-912,Civic Center Acoustic Renovation & Fire Doors,Education Facility Maintenance,2024-Q3,VND-129,FrontRange Builders Group,3950000.00,2024-09-02T16:00:00,12 Foothills Pkwy Fort Collins,0,Elena Rostova,Pending Review,
BID-2024-037,TND-913,County-wide Zero-Emission Support Utility Vehicles,Public Transit Fleet,2024-Q3,VND-112,VoltMotion Mobility,5400000.00,2024-09-10T14:15:00,450 EV Blvd Detroit,1,Elena Rostova,Pending Review,
BID-2024-038,TND-913,County-wide Zero-Emission Support Utility Vehicles,Public Transit Fleet,2024-Q3,VND-130,ElectraFleet Solutions,5550000.00,2024-09-10T15:00:00,800 Motor City Ave Warren,0,Elena Rostova,Pending Review,
BID-2024-039,TND-913,County-wide Zero-Emission Support Utility Vehicles,Public Transit Fleet,2024-Q3,VND-131,Nexus Fleet Logistics,9900000.00,2024-09-10T16:40:00,120 Great Lakes Way Toledo,0,Elena Rostova,Pending Review,
BID-2024-040,TND-914,Enterprise ERP Public Records Modernization,Municipal IT & Cybersecurity,2024-Q3,VND-101,Vanguard Tech Solutions,2650000.00,2024-09-15T09:12:00,88 Industrial Pkwy Ste 3B Capital City,1,Director Arthur Vance,Pending Review,
BID-2024-041,TND-914,Enterprise ERP Public Records Modernization,Municipal IT & Cybersecurity,2024-Q3,VND-102,CyberCore Systems Ltd,2710000.00,2024-09-15T09:12:24,88 Industrial Pkwy Ste 3B Capital City,0,Director Arthur Vance,Pending Review,
BID-2024-042,TND-914,Enterprise ERP Public Records Modernization,Municipal IT & Cybersecurity,2024-Q3,VND-132,IntegrateGov Solutions,4800000.00,2024-09-15T16:20:00,500 Capitol Mall Sacramento,0,Director Arthur Vance,Pending Review,
BID-2024-043,TND-915,Regional Highway Embankment Stabilization,Civil Infrastructure,2024-Q3,VND-104,Apex Infrastructure Ltd,11200000.00,2024-09-18T10:04:10,742 Evergreen Terr Suite 404,1,Director Arthur Vance,Pending Review,
BID-2024-044,TND-915,Regional Highway Embankment Stabilization,Civil Infrastructure,2024-Q3,VND-105,Summit Horizons Corp,11350000.00,2024-09-18T10:04:29,742 Evergreen Terr Suite 404,0,Director Arthur Vance,Pending Review,
BID-2024-045,TND-915,Regional Highway Embankment Stabilization,Civil Infrastructure,2024-Q3,VND-133,Sierra Geotechnical Works,19500000.00,2024-09-18T16:45:00,900 Mountain Pass Reno,0,Director Arthur Vance,Pending Review
